dataset,XAI_method,average_scaled_auc,scaled_ranking,explanation_power
Car,GradientSHAP,0.69695,0.85459,0.14541
Car,Int Gradient,0.77252,1.00000,0.00000
Car,MrSEQL-LIME,0.55621,0.58380,0.41620
Car,ROCKET-LIME,0.58380,0.63689,0.36311
Car,MrSEQL-SM,0.60268,0.67321,0.32679
Car,MrSEQL-SHAP,0.25278,0.00000,1.00000
Car,Random,0.53615,0.54521,0.45479
Car,RidgeCV-SM,0.54285,0.55811,0.44189
Car,ROCKET-SHAP,0.38862,0.26137,0.73863
CBF,GradientSHAP,0.41976,0.23035,0.76965
CBF,Int Gradient,0.45321,0.27521,0.72479
CBF,MrSEQL-LIME,0.47354,0.30248,0.69752
CBF,ROCKET-LIME,0.32328,0.10098,0.89902
CBF,MrSEQL-SM,0.42272,0.23433,0.76567
CBF,MrSEQL-SHAP,0.24798,0.00000,1.00000
CBF,Random,0.99370,1.00000,0.00000
CBF,RidgeCV-SM,0.79395,0.73214,0.26786
CBF,ROCKET-SHAP,0.36545,0.15753,0.84247
Coffee,GradientSHAP,0.50772,0.64003,0.35997
Coffee,Int Gradient,0.42484,0.47310,0.52690
Coffee,MrSEQL-LIME,0.42432,0.47205,0.52795
Coffee,ROCKET-LIME,0.50440,0.63335,0.36665
Coffee,MrSEQL-SM,0.32933,0.28071,0.71929
Coffee,MrSEQL-SHAP,0.25771,0.13646,0.86354
Coffee,Random,0.68643,1.00000,0.00000
Coffee,RidgeCV-SM,0.40315,0.42939,0.57061
Coffee,ROCKET-SHAP,0.18997,0.00000,1.00000
ECG200,GradientSHAP,0.76233,0.86898,0.13102
ECG200,Int Gradient,0.73808,0.83450,0.16550
ECG200,MrSEQL-LIME,0.38288,0.32972,0.67028
ECG200,ROCKET-LIME,0.45632,0.43409,0.56591
ECG200,MrSEQL-SM,0.53426,0.54486,0.45514
ECG200,MrSEQL-SHAP,0.26510,0.16234,0.83766
ECG200,Random,0.85453,1.00000,0.00000
ECG200,RidgeCV-SM,0.53920,0.55187,0.44813
ECG200,ROCKET-SHAP,0.15086,0.00000,1.00000
ECG5000,GradientSHAP,0.05109,0.00000,1.00000
ECG5000,Int Gradient,0.06407,0.01391,0.98609
ECG5000,MrSEQL-LIME,0.36130,0.33259,0.66741
ECG5000,ROCKET-LIME,0.44749,0.42501,0.57499
ECG5000,MrSEQL-SM,0.69956,0.69526,0.30474
ECG5000,MrSEQL-SHAP,0.41777,0.39313,0.60687
ECG5000,Random,0.98378,1.00000,0.00000
ECG5000,RidgeCV-SM,0.71369,0.71041,0.28959
ECG5000,ROCKET-SHAP,0.21708,0.17796,0.82204
ECGFiveDays,GradientSHAP,0.31372,0.22815,0.77185
ECGFiveDays,Int Gradient,0.34737,0.28519,0.71481
ECGFiveDays,MrSEQL-LIME,0.53846,0.60907,0.39093
ECGFiveDays,ROCKET-LIME,0.45034,0.45971,0.54029
ECGFiveDays,MrSEQL-SM,0.76911,1.00000,0.00000
ECGFiveDays,MrSEQL-SHAP,0.23321,0.09170,0.90830
ECGFiveDays,Random,0.45160,0.46185,0.53815
ECGFiveDays,RidgeCV-SM,0.61034,0.73090,0.26910
ECGFiveDays,ROCKET-SHAP,0.17911,0.00000,1.00000
GunPoint,GradientSHAP,0.40011,0.26242,0.73758
GunPoint,Int Gradient,0.25029,0.00000,1.00000
GunPoint,MrSEQL-LIME,0.38179,0.23034,0.76966
GunPoint,ROCKET-LIME,0.82120,1.00000,0.00000
GunPoint,MrSEQL-SM,0.31260,0.10915,0.89085
GunPoint,MrSEQL-SHAP,0.29357,0.07580,0.92420
GunPoint,Random,0.35660,0.18621,0.81379
GunPoint,RidgeCV-SM,0.50032,0.43795,0.56205
GunPoint,ROCKET-SHAP,0.33937,0.15604,0.84396
ItalyPowerDemand,GradientSHAP,0.12675,0.00000,1.00000
ItalyPowerDemand,Int Gradient,0.16126,0.05349,0.94651
ItalyPowerDemand,MrSEQL-LIME,0.66772,0.83840,0.16160
ItalyPowerDemand,ROCKET-LIME,0.68539,0.86579,0.13421
ItalyPowerDemand,MrSEQL-SM,0.77199,1.00000,0.00000
ItalyPowerDemand,MrSEQL-SHAP,0.69863,0.88631,0.11369
ItalyPowerDemand,Random,0.60021,0.73378,0.26622
ItalyPowerDemand,RidgeCV-SM,0.42076,0.45566,0.54434
ItalyPowerDemand,ROCKET-SHAP,0.58208,0.70567,0.29433
Plane,GradientSHAP,0.29517,0.20251,0.79749
Plane,Int Gradient,0.30829,0.21965,0.78035
Plane,MrSEQL-LIME,0.52459,0.50226,0.49774
Plane,ROCKET-LIME,0.90556,1.00000,0.00000
Plane,MrSEQL-SM,0.75763,0.80673,0.19327
Plane,MrSEQL-SHAP,0.38970,0.32602,0.67398
Plane,Random,0.33218,0.25086,0.74914
Plane,RidgeCV-SM,0.65740,0.67577,0.32423
Plane,ROCKET-SHAP,0.14017,0.00000,1.00000
PowerCons,GradientSHAP,0.33764,0.30713,0.69287
PowerCons,Int Gradient,0.34978,0.32083,0.67917
PowerCons,MrSEQL-LIME,0.62046,0.62617,0.37383
PowerCons,ROCKET-LIME,0.27759,0.23939,0.76061
PowerCons,MrSEQL-SM,0.95184,1.00000,0.00000
PowerCons,MrSEQL-SHAP,0.54968,0.54633,0.45367
PowerCons,Random,0.51279,0.50472,0.49528
PowerCons,RidgeCV-SM,0.36547,0.33852,0.66148
PowerCons,ROCKET-SHAP,0.06538,0.00000,1.00000
SonyAIBORobotSurface1,GradientSHAP,0.34643,0.15787,0.84213
SonyAIBORobotSurface1,Int Gradient,0.37008,0.20043,0.79957
SonyAIBORobotSurface1,MrSEQL-LIME,0.69774,0.79030,0.20970
SonyAIBORobotSurface1,ROCKET-LIME,0.52262,0.47505,0.52495
SonyAIBORobotSurface1,MrSEQL-SM,0.81422,1.00000,0.00000
SonyAIBORobotSurface1,MrSEQL-SHAP,0.63419,0.67591,0.32409
SonyAIBORobotSurface1,Random,0.68392,0.76542,0.23458
SonyAIBORobotSurface1,RidgeCV-SM,0.35119,0.16643,0.83357
SonyAIBORobotSurface1,ROCKET-SHAP,0.25874,0.00000,1.00000
SonyAIBORobotSurface2,GradientSHAP,0.04024,0.00865,0.99135
SonyAIBORobotSurface2,Int Gradient,0.03255,0.00000,1.00000
SonyAIBORobotSurface2,MrSEQL-LIME,0.51966,0.54771,0.45229
SonyAIBORobotSurface2,ROCKET-LIME,0.55559,0.58811,0.41189
SonyAIBORobotSurface2,MrSEQL-SM,0.92191,1.00000,0.00000
SonyAIBORobotSurface2,MrSEQL-SHAP,0.59695,0.63461,0.36539
SonyAIBORobotSurface2,Random,0.63965,0.68263,0.31737
SonyAIBORobotSurface2,RidgeCV-SM,0.41827,0.43370,0.56630
SonyAIBORobotSurface2,ROCKET-SHAP,0.19542,0.18313,0.81687
Strawberry,GradientSHAP,0.50189,0.58875,0.41125
Strawberry,Int Gradient,0.49249,0.57084,0.42916
Strawberry,MrSEQL-LIME,0.23912,0.08783,0.91217
Strawberry,ROCKET-LIME,0.37182,0.34080,0.65920
Strawberry,MrSEQL-SM,0.35163,0.30231,0.69769
Strawberry,MrSEQL-SHAP,0.19305,0.00000,1.00000
Strawberry,Random,0.37790,0.35240,0.64760
Strawberry,RidgeCV-SM,0.71761,1.00000,0.00000
Strawberry,ROCKET-SHAP,0.50786,0.60015,0.39985
Trace,GradientSHAP,0.65109,0.75488,0.24512
Trace,Int Gradient,0.68315,0.79411,0.20589
Trace,MrSEQL-LIME,0.22333,0.23151,0.76849
Trace,ROCKET-LIME,0.63668,0.73725,0.26275
Trace,MrSEQL-SM,0.71756,0.83621,0.16379
Trace,MrSEQL-SHAP,0.03411,0.00000,1.00000
Trace,Random,0.57868,0.66628,0.33372
Trace,RidgeCV-SM,0.85143,1.00000,0.00000
Trace,ROCKET-SHAP,0.20226,0.20574,0.79426
TwoLeadECG,GradientSHAP,0.65366,0.82948,0.17052
TwoLeadECG,Int Gradient,0.64831,0.82233,0.17767
TwoLeadECG,MrSEQL-LIME,0.44941,0.55669,0.44331
TwoLeadECG,ROCKET-LIME,0.47888,0.59605,0.40395
TwoLeadECG,MrSEQL-SM,0.74185,0.94726,0.05274
TwoLeadECG,MrSEQL-SHAP,0.09185,0.07915,0.92085
TwoLeadECG,Random,0.48608,0.60566,0.39434
TwoLeadECG,RidgeCV-SM,0.78134,1.00000,0.00000
TwoLeadECG,ROCKET-SHAP,0.03258,0.00000,1.00000
TwoPatterns,GradientSHAP,0.24092,0.14169,0.85831
TwoPatterns,Int Gradient,0.24455,0.14580,0.85420
TwoPatterns,MrSEQL-LIME,0.20901,0.10561,0.89439
TwoPatterns,ROCKET-LIME,0.16230,0.05280,0.94720
TwoPatterns,MrSEQL-SM,0.22596,0.12478,0.87522
TwoPatterns,MrSEQL-SHAP,0.26241,0.16599,0.83401
TwoPatterns,Random,1.00000,1.00000,0.00000
TwoPatterns,RidgeCV-SM,0.53864,0.47833,0.52167
TwoPatterns,ROCKET-SHAP,0.11561,0.00000,1.00000
CMJ,GradientSHAP,0.78817,0.94060,0.05940
CMJ,Int Gradient,0.83224,1.00000,0.00000
CMJ,MrSEQL-LIME,0.09879,0.01166,0.98834
CMJ,ROCKET-LIME,0.41714,0.44064,0.55936
CMJ,MrSEQL-SM,0.16321,0.09847,0.90153
CMJ,MrSEQL-SHAP,0.09013,0.00000,1.00000
CMJ,Random,0.65615,0.76271,0.23729
CMJ,RidgeCV-SM,0.60543,0.69436,0.30564
CMJ,ROCKET-SHAP,0.20969,0.16111,0.83889
